starttime,time,duration,name,ip,song1,song2,favsong,comment
2014-01-16 20:15:38 UTC,2014-01-16 20:28:32 UTC,774.0136771,Kevin,50.138.183.238,IveFoundanewbabyOutputStereoOut.mp3,HoochieCoochieManOutputStereoOut.mp3,HoochieCoochieManOutputStereoOut.mp3,
2014-01-16 20:25:36 UTC,2014-01-16 20:29:15 UTC,219.6660469,I can't decide if the vocals are cool or if the singer sounds drunk/old/underwater. Or both.,134.174.21.190,DoYouKnowWhatitMeansOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,This one is really cool.
2014-01-16 20:29:15 UTC,2014-01-16 20:32:21 UTC,186.735678,,134.174.21.190,SexyandIknowit.mp3,OntheSunnySideoftheStreetOutputStereoOut.mp3,SexyandIknowit.mp3,"Sexy and I know it is hilarious! Love the entirely different take on it. Sunny Side is nice, but there's a little background noise, and the lyrics in the first line are somewhat impossible. But let me know if you figure out how to grab a street."
2014-01-16 20:32:21 UTC,2014-01-16 20:33:03 UTC,42.50969815,,134.174.21.190,07BlackandBlueSweetMo.mp3,12GetonWithItSweetMo.mp3,07BlackandBlueSweetMo.mp3,
2014-01-16 20:26:01 UTC,2014-01-16 20:33:09 UTC,428.910388,Shawn Hershey,204.9.220.42,HeyCupid.mp3,IveFoundanewbabyOutputStereoOut.mp3,HeyCupid.mp3,
2014-01-16 20:16:58 UTC,2014-01-16 20:36:02 UTC,1144.070505,,64.47.206.34,SweetSueOutputStereoOut.mp3,GeeBabyAintIgoodtoYouOutputStereoOut.mp3,GeeBabyAintIgoodtoYouOutputStereoOut.mp3,
2014-01-16 20:28:32 UTC,2014-01-16 20:46:33 UTC,1081.383049,Kevin,50.138.183.238,ItsalrightwithmeOutputStereoOut.mp3,PoisonOutputStereoOut.mp3,PoisonOutputStereoOut.mp3,
2014-01-16 20:36:02 UTC,2014-01-16 20:49:23 UTC,801.6176431,Favorite so far! (note I lean more blues than swing),64.47.206.34,18CloserWalkwithTheeSweetMo.mp3,ComesLoveOutputStereoOut.mp3,ComesLoveOutputStereoOut.mp3,"More favorite than the left (18Closerwalk), which I thought was my fav until I listened to this. Squirrel."
2014-01-16 20:49:26 UTC,2014-01-16 21:03:21 UTC,835.993768,Not much variation/action,64.47.206.34,RocksinMyBedOutputStereoOut1.mp3,SisterKateOutputStereoOut.mp3,SisterKateOutputStereoOut.mp3,Energy/'tude! :)
2014-01-16 21:07:21 UTC,2014-01-16 21:37:13 UTC,1792.495386,June,24.105.166.42,PoisonOutputStereoOut.mp3,GetonWithItOutputStereoOut.mp3,GetonWithItOutputStereoOut.mp3,"Love them both! Slight preference for Get On With It; I think there are also more versions already in existence for Poison, although I could be making that up."
2014-01-16 21:37:13 UTC,2014-01-16 21:53:39 UTC,986.9740958,June,24.105.166.42,18CloserWalkwithTheeSweetMo.mp3,07BlackandBlueSweetMo.mp3,18CloserWalkwithTheeSweetMo.mp3,The horns on Closer just kill me.
2014-01-16 21:53:40 UTC,2014-01-16 22:04:30 UTC,650.236949,June,24.105.166.42,CloserWalkWithTheeOutputStereoOut.mp3,12GetonWithItSweetMo.mp3,CloserWalkWithTheeOutputStereoOut.mp3,
